gmail_label,from,subject,body_preview
INBOX,Quizlet <newsletter@newsletter.quizlet.com>,📣 We have a new home feed 📣,Have you seen it yet? ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
INBOX,Apple <News@InsideApple.Apple.com>,"The awe-dropping new iPhone family, AirPods, and Apple Watch models.","The Apple logo glowing in heat map thermal colors, morphing from blue into yellow into red, on a black backdrop. The heat map changes colors as it is interacted with. The longer the cursor hovers over"
INBOX,"""Numerade"" <mary@email.numerade.com>",Stuck on an Assignment? Just Say It. Ace Live Solves It.,"Say it out loud, share your screen, and let Ace guide you through. <https://www.numerade.com/ace-live/> Talk Freely. Get Help. ACE Live Is Here. <https://www.numerade.com/ace-live/> Solve It"
INBOX,Apple <News@InsideApple.Apple.com>,Get ready for iPhone pre-order.,"Apple Get ready to get wowed. The countdown to pre-order starts now. Choose your new iPhone 17 Pro, iPhone Air, or iPhone 17 today so you can speed through checkout on 9.12. Get ready now ht"
INBOX,"""CSCPay Mobile"" <cscpaymobile@hello.cscsw.com>",Reminder: A Gift from CSC,"Reminder: A Gift from CSC Enjoy a $30 gift as a thank you for using CSC Laundry. Use it on wine, food delivery, music and more - via goNift.com Don't forget to claim your $30 thank-you gift before i"
INBOX,App Store <appstore@insideapple.apple.com>,Get ready for the Apple Games app,App Store Find it on App Store https://geni.us/pwVY ----------------------------- A red and orange app icon with a white rocket ship on it blasting off floats against a black screen background w
INBOX,"""CSCPay Mobile"" <cscpaymobile@hello.cscsw.com>",Reminder: A Gift from CSC,"Enjoy a $30 gift as a thank you for using CSC Laundry. Use it on wine, food delivery, clothing and more - via goNift.com <https://www.cscsw.com/> DON'T FORGET In case you missed it, you'v"
INBOX,"""NVIDIA GeForce NOW"" <gaming@nvgaming.nvidia.com>",Important updates to GeForce NOW memberships,"<!doctype html><html lang=""en-US"" xmlns=""http://www.w3.org/1999/xhtml"" xmlns:v=""urn:schemas-microsoft-com:vml"" xmlns:o=""urn:schemas-microsoft-com:office:office""><head><!--[if !mso]><!-- --><meta http-"
INBOX,Apple <News@InsideApple.Apple.com>,Say hello to the latest generation of iPhone.,"iPhone 17 Pro Heat-forged aluminum unibody design for exceptional pro capability. Powered by the A19 Pro chip, vapor cooled for lightning-fast performance. Breakthrough battery life.(1) New Ceramic"
INBOX,"""Nintendo"" <nintendo-noreply@nintendo.net>","Happy birthday, Om!","<!DOCTYPE html> <html style=""-webkit-text-size-adjust: none;""> <head> <meta charset=""UTF-8""> <meta name=""viewport"" content=""width=device-width""><!--[if !mso]><!"
INBOX,Spotify <no-reply@spotify.com>,bbno$ live: personalized concert recommendation near you,header https://open.spotify.com/concerts Upcoming events near you artist image 1 https://attr.spotify.com/events/v1/ticketmaster/378iLD26jlfmFEHCJeN9cx?p=0085520d85d6f1788113ff3b59bf9774639d8f8b16
INBOX,Spotify <no-reply@spotify.com>,"Playboi Carti, bbno$ live: personalized concert recommendations near you",header https://open.spotify.com/concerts Upcoming events near you artist image 1 https://attr.spotify.com/events/v1/ticketmaster/31DfdY7vYnaXQt6XHTXtFu?p=0085520d85d6f1788113ff3b59bf9774639d8f8b16
INBOX,Apple Card <applecard@insideapple.apple.com>,Shop the latest at Apple. Get 3% back with Apple Card.,"Apple Card ----------------------------- Shop Apple with Apple Card. Get 3% back. Shop at Apple and get 3% Daily Cash back when you use your Apple Card on everything from a new iPhone, s"
INBOX,Quizlet <newsletter@newsletter.quizlet.com>,Work on your weak spots with Learn,Learn finds your toughest topics and tests you on them. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
INBOX,Apple <News@InsideApple.Apple.com>,"⏰ Last chance: Save on Mac and iPad, get AirPods or an accessory.",https://c.apple.com/r?v=2&a=1zIdgxRYc2DtYV9mVx1rKVlLY4S3XP4jfdSiAIA8JV%2F3LyvFISTjK02hW%2BSgnTDMkQdWqZxkUBJrUkhgRwjm8kFJnlw9qhbd7ZENlj7%2F0u43JInQ2a0CwrXT%2B4vAEbyCzrvd5kIaPZ2W3e7LDeYDEcyAz5mdGW8KRp8i
INBOX,Apple Music <applemusic@insideapple.apple.com>,"Music from all angles, free for 1 month.",Apple Music logo on a red background https://music.apple.com/deeplink?p=subscribe-individual&itscg=10200&itsct=AM_iOS_Invite_V2&app=music&ls=1&at=email 100 million songs. 1 month free. Experien
INBOX,Apple Games <applegames@insideapple.apple.com>,Welcome to the Apple Games app,"The Apple Games app Home tab. https://link.apple/LvtnvxWNoE One app for all your games. Keep up with all your games, go head-to-head with friends, and discover your next pick. The Games app tak"
INBOX,Quizlet <newsletter@newsletter.quizlet.com>,New and exclusive preview! Create flashcards faster than ever,Spend less time creating and more time studying. ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
INBOX,"""Numerade"" <mary@email.numerade.com>",Meet the New Ace: The only study tool built to help you understand,"Your personal study partner, redesigned for real learning <https://www.numerade.com/> <https://www.numerade.com/> Meet the New Ace: Your personal study partner, redesigned for real learning"
INBOX,Apple Card <applecard@insideapple.apple.com>,Last Chance: 5% back at Uber ends soon,Apple Card ----------------------------- Don’t miss out on 5% back at Uber and Uber Eats. Earn 5% total Daily Cash back at Uber and Uber Eats on up to $500 in combined purchases whe
INBOX,Steam <noreply@steampowered.com>,Don't Starve Together from your Steam wishlist is now on sale!,"Hello Sekiro! The following items on your wishlist are on sale: Don't Starve Together - 66% off! <https://store.steampowered.com/app/322330/Dont_Starve_Together/> Cheers, The Steam Team --"
INBOX,Apple <News@InsideApple.Apple.com>,The latest generation of iPhone is here.,"Apple iPhone 17 Pro Innovative design for the ultimate performance and battery life. iPhone 17 Pro Max, back exterior, all three colors: silver, Cosmic Orange, and Deep Blue From $1099 or"
INBOX,"""Numerade"" <ace@email.numerade.com>",Conquer Your Textbook Problems With Confidence,Numerade's expert educators answer your most difficult textbook questions. <https://www.numerade.com/home/> <https://www.numerade.com/books/> Stop wasting hours on one tricky question. Numera
INBOX,Apple Music <applemusic@insideapple.apple.com>,Last chance to get 3 free months of Apple Music’s Family plan.,Apple Music Listen on Apple Music ----------------------------- No ads. No commitment. 3 months free. Time is running out to get this incredible deal: 3 free months of Apple Music1 for up
INBOX,Spotify <no-reply@spotify.com>,bbno$ live: personalized concert recommendation near you,header https://open.spotify.com/concerts Upcoming events near you artist image 1 https://attr.spotify.com/events/v1/ticketmaster/378iLD26jlfmFEHCJeN9cx?p=0085520d85d6f1788113ff3b59bf9774639d8f8b16
INBOX,Steam <noreply@steampowered.com>,You've received a gift copy of the game Don't Starve Together on Steam,You’ve received a gift! Your friend hxnter has given you <i>Don't Starve Together</i> on Steam. Click the button below to accept this gift and add it to your Library. Once you've installed S
INBOX,"""Steam Support"" <noreply@steampowered.com>",Your Steam gift has been accepted,Hello omi1391 hxnter has accepted your gift ============================================= Don't Starve Together ============================================= You can see all of y
INBOX,"""Numerade"" <mary@email.numerade.com>",Stuck on Homework? Just Ask an Expert!,Get a custom video solution to your homework questions. <https://www.numerade.com/ask/home/> <https://www.numerade.com/ask/home/> Your Questions Answered by a REAL Expert! Got a homework q
INBOX,Apple <News@InsideApple.Apple.com>,"Introducing the all-new Apple Watch Series 11, Apple Watch SE 3, and Apple Watch Ultra 3.",Apple Watch Series 11 The ultimate way to watch your health. From $399 or $33.25/mo. for 12 mo.¹ before trade-in* Buy https://c.apple.com/r?v=2&a=1zIdgxRYc2DtYV9mVx1rKVlLY4S3XP4jfdSiAIA8JV%2
INBOX,Steam <noreply@steampowered.com>,Don't Starve from your Steam wishlist is now on sale!,"Hello Sekiro! The following items on your wishlist are on sale: Don't Starve - 75% off! <https://store.steampowered.com/app/219740/Dont_Starve/> Cheers, The Steam Team -- This notification"
INBOX,Apple <News@InsideApple.Apple.com>,Introducing the all-new AirPods Pro 3.,Apple AirPods Pro 3 The world’s best in-ear Active Noise Cancellation.(1) Now with heart rate sensing during workouts.(2) Live Translation.(3) And improved battery life with up to 8 hours of lis
INBOX,Quizlet <newsletter@newsletter.quizlet.com>,Now live: Create your first Study Group,Master material with your classmates ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌ ‌
INBOX,"""Numerade"" <mary@email.numerade.com>",Talk It Out. ACE Live Is Ready to Help,Talk Freely. Receive Support. ACE Live Stands by You. <https://www.numerade.com/ace-live/> Talk Freely. Get Help. ACE Live Is Here. <https://www.numerade.com/ace-live/> Start Talking With A
INBOX,"""Numerade"" <ace@email.numerade.com>",Textbook Answers You Can Trust – Backed by Experts,Textbook questions got you stuck? Let Numerade’s pros help you out. <https://www.numerade.com/books/> <https://www.numerade.com/books/> Struggling to keep up with classwork? We’ve got you co
INBOX,"""CodeWeavers"" <noreply@codeweavers.com>",Ready to break free? Your CrossOver trial starts now.,####[View in browser](https://r.marketing.codeweavers.com/tr/mr/wg591iJucdbi1bnrwxh44kS7ORAWCHizi4XbQoSjQyfL8Gg4iG2dOpbRLp4HLVnfF9gjBajZv1J52NlbtTQzwyyh4zMpC4VEvigvAlUKtugUNgd6uSmZ_q4s0bOF4TwdtaCIKSLP
INBOX,"""Steam Team"" <noreply@steampowered.com>",New sign in to Steam,"New sign in to Steam From your account ""omi1391"" Location of sign in: Riverside, CA, US Authorized by: Steam Mobile Authenticator code If the details above look familiar, you can safel"
INBOX,ChatGPT <noreply@email.openai.com>,Ask anything – really,"<!DOCTYPE html> <html dir=""ltr""> <head> <meta charset=""utf-8""> <meta http-equiv=""x-ua-compatible"" content=""ie=edge""> <title></title> <meta name=""viewport"" content=""width=device-width, in"
INBOX,Google <no-reply@accounts.google.com>,Security alert,"[image: Google] Phone number added for 2-Step Verification sohamsanket2@gmail.com Codes to sign in to your account now go to a new phone number. If you didn't add this number, someone might be"
INBOX,Google <no-reply@accounts.google.com>,2-Step Verification turned on,[image: Google] 2-Step Verification turned on sohamsanket2@gmail.com Your Google Account sohamsanket2@gmail.com is now protected with 2-Step Verification. When you sign in on a new or untrus
INBOX,Google <no-reply@accounts.google.com>,Security alert,"[image: Google] App password created to sign in to your account sohamsanket2@gmail.com If you didn't generate this password for SpamFilter, someone might be using your account. Check and secur"
SPAM,"""Numerade"" <mary@email.numerade.com>",You’ve Got 5 FREE Ace Messages. Don’t Miss Out!,"Study smarter, not harder. Upload your assignment to Ace and get personalized study guides <https://www.numerade.com/acechat/landing/> 5 Free Ace Messages Waiting For You <https://www.numera"
